Country,medal,count
People's Republic of China,gold,21
People's Republic of China,Silver,13
People's Republic of China,Bronze,12
Japan,gold,17
Japan,Silver,5
Japan,Bronze,8
United States of America,gold,16
United States of America,Silver,17
United States of America,Bronze,13
ROC,gold,11
ROC,Silver,15
ROC,Bronze,11
Australia,gold,10
Australia,Silver,3
Australia,Bronze,14
Great Britain,gold,8
Great Britain,Silver,9
Great Britain,Bronze,11
Republic of Korea,gold,5
Republic of Korea,Silver,4
Republic of Korea,Bronze,7
France,gold,4
France,Silver,9
France,Bronze,6
Netherlands,gold,4
Netherlands,Silver,7
Netherlands,Bronze,5
New Zealand,gold,4
New Zealand,Silver,3
New Zealand,Bronze,3
Germany,gold,3
Germany,Silver,4
Germany,Bronze,10
Canada,gold,3
Canada,Silver,4
Canada,Bronze,5
Switzerland,gold,3
Switzerland,Silver,3
Switzerland,Bronze,4
Czech Republic,gold,3
Czech Republic,Silver,3
Czech Republic,Bronze,1
Croatia,gold,3
Croatia,Silver,1
Croatia,Bronze,2
Italy,gold,2
Italy,Silver,8
Italy,Bronze,14
Chinese Taipei,gold,2
Chinese Taipei,Silver,2
Chinese Taipei,Bronze,3
Hungary,gold,2
Hungary,Silver,2
Hungary,Bronze,2
Slovenia,gold,2
Slovenia,Silver,1
Slovenia,Bronze,1
Kosovo,gold,2
Kosovo,Silver,0
Kosovo,Bronze,0
Brazil,gold,1
Brazil,Silver,3
Brazil,Bronze,4
Georgia,gold,1
Georgia,Silver,3
Georgia,Bronze,1
Romania,gold,1
Romania,Silver,3
Romania,Bronze,0
Spain,gold,1
Spain,Silver,2
Spain,Bronze,2
Hong Kong| China,gold,1
Hong Kong| China,Silver,2
Hong Kong| China,Bronze,0
South Africa,gold,1
South Africa,Silver,2
South Africa,Bronze,0
Austria,gold,1
Austria,Silver,1
Austria,Bronze,3
Serbia,gold,1
Serbia,Silver,1
Serbia,Bronze,2
Jamaica,gold,1
Jamaica,Silver,1
Jamaica,Bronze,1
Norway,gold,1
Norway,Silver,1
Norway,Bronze,0
Poland,gold,1
Poland,Silver,1
Poland,Bronze,0
Slovakia,gold,1
Slovakia,Silver,1
Slovakia,Bronze,0
Sweden,gold,1
Sweden,Silver,1
Sweden,Bronze,0
Tunisia,gold,1
Tunisia,Silver,1
Tunisia,Bronze,0
Turkey,gold,1
Turkey,Silver,0
Turkey,Bronze,2
Estonia,gold,1
Estonia,Silver,0
Estonia,Bronze,1
Fiji,gold,1
Fiji,Silver,0
Fiji,Bronze,1
Ireland,gold,1
Ireland,Silver,0
Ireland,Bronze,1
Uzbekistan,gold,1
Uzbekistan,Silver,0
Uzbekistan,Bronze,1
Bermuda,gold,1
Bermuda,Silver,0
Bermuda,Bronze,0
Belarus,gold,1
Belarus,Silver,0
Belarus,Bronze,0
Ecuador,gold,1
Ecuador,Silver,0
Ecuador,Bronze,0
Ethiopia,gold,1
Ethiopia,Silver,0
Ethiopia,Bronze,0
Greece,gold,1
Greece,Silver,0
Greece,Bronze,0
Islamic Republic of Iran,gold,1
Islamic Republic of Iran,Silver,0
Islamic Republic of Iran,Bronze,0
Latvia,gold,1
Latvia,Silver,0
Latvia,Bronze,0
Philippines,gold,1
Philippines,Silver,0
Philippines,Bronze,0
Qatar,gold,1
Qatar,Silver,0
Qatar,Bronze,0
Thailand,gold,1
Thailand,Silver,0
Thailand,Bronze,0
Colombia,gold,0
Colombia,Silver,2
Colombia,Bronze,1
Dominican Republic,gold,0
Dominican Republic,Silver,2
Dominican Republic,Bronze,0
Venezuela,gold,0
Venezuela,Silver,2
Venezuela,Bronze,0
Indonesia,gold,0
Indonesia,Silver,1
Indonesia,Bronze,2
Mongolia,gold,0
Mongolia,Silver,1
Mongolia,Bronze,2
Belgium,gold,0
Belgium,Silver,1
Belgium,Bronze,1
Cuba,gold,0
Cuba,Silver,1
Cuba,Bronze,1
Denmark,gold,0
Denmark,Silver,1
Denmark,Bronze,1
San Marino,gold,0
San Marino,Silver,1
San Marino,Bronze,1
Uganda,gold,0
Uganda,Silver,1
Uganda,Bronze,1
Bulgaria,gold,0
Bulgaria,Silver,1
Bulgaria,Bronze,0
India,gold,0
India,Silver,1
India,Bronze,0
Jordan,gold,0
Jordan,Silver,1
Jordan,Bronze,0
North Macedonia,gold,0
North Macedonia,Silver,1
North Macedonia,Bronze,0
Turkmenistan,gold,0
Turkmenistan,Silver,1
Turkmenistan,Bronze,0
Ukraine,gold,0
Ukraine,Silver,0
Ukraine,Bronze,5
Kazakhstan,gold,0
Kazakhstan,Silver,0
Kazakhstan,Bronze,3
Egypt,gold,0
Egypt,Silver,0
Egypt,Bronze,2
Israel,gold,0
Israel,Silver,0
Israel,Bronze,2
Mexico,gold,0
Mexico,Silver,0
Mexico,Bronze,2
Argentina,gold,0
Argentina,Silver,0
Argentina,Bronze,1
Azerbaijan,gold,0
Azerbaijan,Silver,0
Azerbaijan,Bronze,1
Côte d'Ivoire,gold,0
Côte d'Ivoire,Silver,0
Côte d'Ivoire,Bronze,1
Finland,gold,0
Finland,Silver,0
Finland,Bronze,1
Kuwait,gold,0
Kuwait,Silver,0
Kuwait,Bronze,1
Malaysia,gold,0
Malaysia,Silver,0
Malaysia,Bronze,1
Portugal,gold,0
Portugal,Silver,0
Portugal,Bronze,1
